Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0176	LOND-1323FD7	EPI_ISL_920243	hCoV-19/England/LOND-1323FD7/2020	ERS5662776	ERR5226309
S0177	LOND-1324149	EPI_ISL_920259	hCoV-19/England/LOND-1324149/2020	ERS5653610	ERR5217532
S0178	LOND-1325315	EPI_ISL_920461	hCoV-19/England/LOND-1325315/2020	ERS5741164	ERR5288991
S0179	LOND-1324431	EPI_ISL_920301	hCoV-19/England/LOND-1324431/2020	ERS5656613	ERR5220470
S0180	LOND-1324219	EPI_ISL_920270	hCoV-19/England/LOND-1324219/2020	ERS5661710	ERR5225306
S0181	LOND-13242A0	EPI_ISL_920279	hCoV-19/England/LOND-13242A0/2020	ERS5657396	ERR5221227
S0182	LOND-1325773	EPI_ISL_920513	hCoV-19/England/LOND-1325773/2020	ERS5743404	ERR5291626
S0183	LOND-13256C1	EPI_ISL_920505	hCoV-19/England/LOND-13256C1/2020	ERS5741260	ERR5289093
S0184	LOND-132561C	EPI_ISL_920495	hCoV-19/England/LOND-132561C/2020	ERS5741411	ERR5289254
S0185	LOND-132555B	EPI_ISL_920486	hCoV-19/England/LOND-132555B/2020	ERS5742535	ERR5290719
S0186	#N/A	#N/A	#N/A	#N/A	#N/A
S0187	LOND-1323F8C	EPI_ISL_920240	hCoV-19/England/LOND-1323F8C/2020	ERS5655536	ERR5219423
S0188	LOND-13242CE	EPI_ISL_920281	hCoV-19/England/LOND-13242CE/2020	ERS5659347	ERR5223100
S0189	#N/A	#N/A	#N/A	#N/A	#N/A
S0190	LOND-1322F14	#N/A	#N/A	#N/A	#N/A
S0191	LOND-1323951	EPI_ISL_920176	hCoV-19/England/LOND-1323951/2020	ERS5657946	ERR5221741
S0192	LOND-1324088	0	0	0	0
S0193	LOND-1322F23	EPI_ISL_866068	hCoV-19/England/LOND-1322F23/2020	ERS5658812	ERR5222578
S0194	LOND-1252A39	EPI_ISL_842701	hCoV-19/England/LOND-1252A39/2020	ERS5667199	ERR5230127
S0195	LOND-1324097	EPI_ISL_920251	hCoV-19/England/LOND-1324097/2020	ERS5659705	ERR5223446
S0196	LOND-1324158	EPI_ISL_920260	hCoV-19/England/LOND-1324158/2020	ERS5654926	ERR5218824
S0197	LOND-132549A	EPI_ISL_920477	hCoV-19/England/LOND-132549A/2020	ERS5740770	ERR5288558
S0198	LOND-1325694	EPI_ISL_920502	hCoV-19/England/LOND-1325694/2020	ERS5735065	ERR5286427
S0199	LOND-13242BF	EPI_ISL_920280	hCoV-19/England/LOND-13242BF/2020	ERS5662093	ERR5225679
S0200	#N/A	#N/A	#N/A	#N/A	#N/A
S0201	LOND-1323FB9	EPI_ISL_920242	hCoV-19/England/LOND-1323FB9/2020	ERS5665867	ERR5228776
S0202	#N/A	#N/A	#N/A	#N/A	#N/A
S0203	LOND-1323FC8	0	0	0	0
S0204	LOND-132439E	EPI_ISL_920292	hCoV-19/England/LOND-132439E/2020	ERS5661728	ERR5225324
S0205	#N/A	#N/A	#N/A	#N/A	#N/A
S0206	LOND-1322F41	EPI_ISL_866070	hCoV-19/England/LOND-1322F41/2020	ERS5659107	ERR5222863
S0207	LOND-132413A	EPI_ISL_920258	hCoV-19/England/LOND-132413A/2020	ERS5655474	ERR5219362
S0208	LOND-13255E2	EPI_ISL_920492	hCoV-19/England/LOND-13255E2/2020	ERS5742246	ERR5290151
S0209	LOND-1252A2A	EPI_ISL_842700	hCoV-19/England/LOND-1252A2A/2020	ERS5655222	ERR5219115
S0210	LOND-132445F	EPI_ISL_920303	hCoV-19/England/LOND-132445F/2020	ERS5661489	ERR5225100
S0211	LOND-132397F	EPI_ISL_920178	hCoV-19/England/LOND-132397F/2020	ERS5659217	ERR5222972
S0212	LOND-1323A03	EPI_ISL_920185	hCoV-19/England/LOND-1323A03/2020	ERS5660338	ERR5224029
S0213	LOND-1323915	0	0	0	0
S0214	LOND-13242DD	EPI_ISL_920282	hCoV-19/England/LOND-13242DD/2020	ERS5666729	ERR5229648
S0215	LOND-13253D9	EPI_ISL_920469	hCoV-19/England/LOND-13253D9/2020	ERS5741798	ERR5289664
S0216	LOND-1324440	EPI_ISL_920302	hCoV-19/England/LOND-1324440/2020	ERS5656910	ERR5220768
S0217	LOND-1324079	EPI_ISL_920250	hCoV-19/England/LOND-1324079/2020	ERS5659851	ERR5223584
S0218	LOND-132552E	EPI_ISL_920483	hCoV-19/England/LOND-132552E/2020	ERS5743163	ERR5291379
S0219	LOND-132546D	0	0	0	0
S0220	LOND-1253704	EPI_ISL_842767	hCoV-19/England/LOND-1253704/2020	ERS5664399	ERR5227301
S0221	LOND-12536BC	0	0	0	0
S0222	LOND-12536CB	EPI_ISL_842765	hCoV-19/England/LOND-12536CB/2020	ERS5662375	ERR5225935
S0223	LOND-1251733	0	0	0	0
S0224	LOND-1251742	EPI_ISL_679430	hCoV-19/England/LOND-1251742/2020	ERS5535281	ERR5070790
S0225	LOND-12512AB	0	0	0	0
S0226	LOND-12512BA	EPI_ISL_665842	hCoV-19/England/LOND-12512BA/2020	ERS5418799	ERR4892642
S0227	LOND-12512C9	EPI_ISL_665299	hCoV-19/England/LOND-12512C9/2020	ERS5418984	ERR4892831
S0228	LOND-12512E7	EPI_ISL_665297	hCoV-19/England/LOND-12512E7/2020	ERS5419178	ERR4893031
S0229	LOND-1251302	EPI_ISL_665525	hCoV-19/England/LOND-1251302/2020	ERS5418453	ERR4892293
S0230	LOND-1251311	0	0	ERS5418017	ERR4891843
S0231	LOND-125133F	EPI_ISL_665559	hCoV-19/England/LOND-125133F/2020	ERS5417620	ERR4891433
S0232	LOND-1325CB0	EPI_ISL_920577	hCoV-19/England/LOND-1325CB0/2020	ERS5743177	ERR5291395
S0233	LOND-125136C	EPI_ISL_665845	hCoV-19/England/LOND-125136C/2020	ERS5416623	ERR4890405
S0234	#N/A	#N/A	#N/A	#N/A	#N/A
S0235	LOND-1251751	EPI_ISL_679431	hCoV-19/England/LOND-1251751/2020	ERS5536290	ERR5071804
S0236	#N/A	#N/A	#N/A	#N/A	#N/A
S0237	LOND-1251760	EPI_ISL_679432	hCoV-19/England/LOND-1251760/2020	ERS5532009	ERR5067546
S0238	LOND-125177F	EPI_ISL_679433	hCoV-19/England/LOND-125177F/2020	ERS5544082	ERR5079624
S0239	#N/A	#N/A	#N/A	#N/A	#N/A
S0240	LOND-125178E	EPI_ISL_679434	hCoV-19/England/LOND-125178E/2020	ERS5528615	ERR5064218
S0241	LOND-125179D	EPI_ISL_679435	hCoV-19/England/LOND-125179D/2020	ERS5534128	ERR5069663
S0242	LOND-12517AC	EPI_ISL_679436	hCoV-19/England/LOND-12517AC/2020	ERS5528476	ERR5064079
S0243	LOND-12517BB	EPI_ISL_679437	hCoV-19/England/LOND-12517BB/2020	ERS5533979	ERR5069513
S0244	LOND-12517CA	EPI_ISL_679438	hCoV-19/England/LOND-12517CA/2020	ERS5545587	ERR5081130
S0245	LOND-12517E8	0	0	0	0
S0246	#N/A	#N/A	#N/A	#N/A	#N/A
S0247	#N/A	#N/A	#N/A	#N/A	#N/A
S0248	LOND-1251399	EPI_ISL_665287	hCoV-19/England/LOND-1251399/2020	ERS5419129	ERR4892981
S0249	LOND-12513A8	EPI_ISL_665846	hCoV-19/England/LOND-12513A8/2020	ERS5417488	ERR4891296
S0250	#N/A	#N/A	#N/A	#N/A	#N/A
S0251	#N/A	#N/A	#N/A	#N/A	#N/A
S0252	#N/A	#N/A	#N/A	#N/A	#N/A
S0253	#N/A	#N/A	#N/A	#N/A	#N/A
S0254	#N/A	#N/A	#N/A	#N/A	#N/A
S0255	#N/A	#N/A	#N/A	#N/A	#N/A
S0256	#N/A	#N/A	#N/A	#N/A	#N/A
S0257	#N/A	#N/A	#N/A	#N/A	#N/A
S0258	#N/A	#N/A	#N/A	#N/A	#N/A
S0259	#N/A	#N/A	#N/A	#N/A	#N/A
S0260	LOND-1252A1B	EPI_ISL_842699	hCoV-19/England/LOND-1252A1B/2020	ERS5665276	ERR5228177
S0261	LOND-1251803	EPI_ISL_679441	hCoV-19/England/LOND-1251803/2020	ERS5528336	ERR5063944
S0262	LOND-1251812	EPI_ISL_679442	hCoV-19/England/LOND-1251812/2020	ERS5539956	ERR5075491
S0263	#N/A	#N/A	#N/A	#N/A	#N/A
S0264	LOND-12529F0	EPI_ISL_842698	hCoV-19/England/LOND-12529F0/2020	ERS5665368	ERR5228273
S0265	LOND-1251821	EPI_ISL_679443	hCoV-19/England/LOND-1251821/2020	ERS5529651	ERR5065258
S0266	LOND-1251830	EPI_ISL_679444	hCoV-19/England/LOND-1251830/2020	ERS5531893	ERR5067431
S0267	LOND-125186D	EPI_ISL_679445	hCoV-19/England/LOND-125186D/2020	ERS5543943	ERR5079489
S0268	#N/A	#N/A	#N/A	#N/A	#N/A
S0269	#N/A	#N/A	#N/A	#N/A	#N/A
S0270	#N/A	#N/A	#N/A	#N/A	#N/A
S0271	#N/A	#N/A	#N/A	#N/A	#N/A
S0272	#N/A	#N/A	#N/A	#N/A	#N/A
S0273	#N/A	#N/A	#N/A	#N/A	#N/A
S0274	#N/A	#N/A	#N/A	#N/A	#N/A
S0275	#N/A	#N/A	#N/A	#N/A	#N/A
S0276	#N/A	#N/A	#N/A	#N/A	#N/A
S0277	#N/A	#N/A	#N/A	#N/A	#N/A
S0278	LOND-1253634	0	0	0	0
S0279	#N/A	#N/A	#N/A	#N/A	#N/A
S0280	#N/A	#N/A	#N/A	#N/A	#N/A
S0281	#N/A	#N/A	#N/A	#N/A	#N/A
S0282	LOND-12529E1	EPI_ISL_842697	hCoV-19/England/LOND-12529E1/2020	ERS5666286	ERR5229198
S0283	LOND-1253643	EPI_ISL_842762	hCoV-19/England/LOND-1253643/2020	ERS5663815	ERR5226764
S0284	LOND-1253625	EPI_ISL_842761	hCoV-19/England/LOND-1253625/2020	ERS5667766	ERR5230701
S0285	#N/A	#N/A	#N/A	#N/A	#N/A
S0286	#N/A	#N/A	#N/A	#N/A	#N/A
S0287	#N/A	#N/A	#N/A	#N/A	#N/A
S0288	#N/A	#N/A	#N/A	#N/A	#N/A
S0289	#N/A	#N/A	#N/A	#N/A	#N/A
S0290	#N/A	#N/A	#N/A	#N/A	#N/A
S0291	#N/A	#N/A	#N/A	#N/A	#N/A
S0292	#N/A	#N/A	#N/A	#N/A	#N/A
S0293	#N/A	#N/A	#N/A	#N/A	#N/A
S0294	#N/A	#N/A	#N/A	#N/A	#N/A
S0295	#N/A	#N/A	#N/A	#N/A	#N/A
S0296	#N/A	#N/A	#N/A	#N/A	#N/A
S0297	#N/A	#N/A	#N/A	#N/A	#N/A
S0298	#N/A	#N/A	#N/A	#N/A	#N/A
S0299	#N/A	#N/A	#N/A	#N/A	#N/A
S0300	#N/A	#N/A	#N/A	#N/A	#N/A
S0301	#N/A	#N/A	#N/A	#N/A	#N/A
S0302	#N/A	#N/A	#N/A	#N/A	#N/A
S0303	#N/A	#N/A	#N/A	#N/A	#N/A
S0304	LOND-1252996	EPI_ISL_842695	hCoV-19/England/LOND-1252996/2020	ERS5655377	ERR5219268
S0305	LOND-1252987	EPI_ISL_842694	hCoV-19/England/LOND-1252987/2020	ERS5655750	ERR5219630
S0306	LOND-125293C	EPI_ISL_842691	hCoV-19/England/LOND-125293C/2020	ERS5654252	ERR5218168
S0307	LOND-125294B	0	0	ERS5653473	ERR5217396
S0308	LOND-125292D	EPI_ISL_842690	hCoV-19/England/LOND-125292D/2020	ERS5662298	ERR5225863
S0309	LOND-125290F	EPI_ISL_842689	hCoV-19/England/LOND-125290F/2020	ERS5662141	ERR5225725
S0310	LOND-12528E4	EPI_ISL_842687	hCoV-19/England/LOND-12528E4/2020	ERS5664667	ERR5227555
S0311	LOND-12528A8	EPI_ISL_842684	hCoV-19/England/LOND-12528A8/2020	ERS5656321	ERR5220184
S0312	LOND-125287B	EPI_ISL_842682	hCoV-19/England/LOND-125287B/2020	ERS5653466	ERR5217386
S0313	LOND-125286C	0	0	0	0
S0314	LOND-12535DD	EPI_ISL_842758	hCoV-19/England/LOND-12535DD/2020	ERS5664019	ERR5226942
S0315	LOND-12535BF	EPI_ISL_842756	hCoV-19/England/LOND-12535BF/2020	ERS5666584	ERR5229500
S0316	LOND-12535CE	EPI_ISL_842757	hCoV-19/England/LOND-12535CE/2020	ERS5656924	ERR5220783
S0317	LOND-12535A0	EPI_ISL_842755	hCoV-19/England/LOND-12535A0/2020	ERS5667108	ERR5230033
S0318	LOND-1253591	EPI_ISL_842754	hCoV-19/England/LOND-1253591/2020	ERS5660452	ERR5289864
S0319	LOND-1253573	EPI_ISL_842752	hCoV-19/England/LOND-1253573/2020	ERS5655598	ERR5219485
S0320	LOND-1253582	EPI_ISL_842753	hCoV-19/England/LOND-1253582/2020	ERS5653179	ERR5217115
S0321	LOND-1253564	0	0	0	0
S0322	LOND-1253555	0	0	0	0
S0323	LOND-125284E	EPI_ISL_842681	hCoV-19/England/LOND-125284E/2020	ERS5656031	ERR5219905
S0324	LOND-1253528	0	0	0	0
S0325	LOND-1252820	EPI_ISL_842680	hCoV-19/England/LOND-1252820/2020	ERS5654643	ERR5218545
S0326	LOND-12534FE	0	0	0	0
S0327	LOND-12534D0	EPI_ISL_842750	hCoV-19/England/LOND-12534D0/2020	ERS5661991	ERR5225581
S0328	LOND-12534B2	0	0	0	0
S0329	LOND-12534C1	0	0	0	0
S0330	LOND-1253494	0	0	ERS5663870	ERR5226818
S0331	LOND-1253476	0	0	0	0
S0332	LOND-1252811	EPI_ISL_842679	hCoV-19/England/LOND-1252811/2020	ERS5661416	ERR5225025
S0333	LOND-12527F6	EPI_ISL_842677	hCoV-19/England/LOND-12527F6/2020	ERS5655136	ERR5219031
S0334	LOND-1252802	EPI_ISL_842678	hCoV-19/England/LOND-1252802/2020	ERS5653189	ERR5217124
S0335	LOND-12527D8	EPI_ISL_842676	hCoV-19/England/LOND-12527D8/2020	ERS5661776	ERR5225370
S0336	LOND-125341C	EPI_ISL_842744	hCoV-19/England/LOND-125341C/2020	ERS5663117	ERR5226627
S0337	LOND-12533F1	EPI_ISL_842742	hCoV-19/England/LOND-12533F1/2020	ERS5664386	ERR5227289
S0338	LOND-125340D	EPI_ISL_842743	hCoV-19/England/LOND-125340D/2020	ERS5659500	ERR5223251
S0339	LOND-12527AB	EPI_ISL_842674	hCoV-19/England/LOND-12527AB/2020	ERS5656506	ERR5220363
S0340	LOND-125277E	EPI_ISL_842671	hCoV-19/England/LOND-125277E/2020	ERS5654459	ERR5218368
S0341	LOND-125278D	EPI_ISL_842672	hCoV-19/England/LOND-125278D/2020	ERS5654037	ERR5217955
S0342	#N/A	#N/A	#N/A	#N/A	#N/A
S0343	LOND-13258E9	EPI_ISL_920529	hCoV-19/England/LOND-13258E9/2020	ERS5741097	ERR5288923
S0344	LOND-13258F8	EPI_ISL_920530	hCoV-19/England/LOND-13258F8/2020	ERS5743037	ERR5291249
S0345	LOND-1322D1A	EPI_ISL_866048	hCoV-19/England/LOND-1322D1A/2020	ERS5654874	ERR5218769
