Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0411	LOND-1326745	EPI_ISL_920696	hCoV-19/England/LOND-1326745/2020	ERS5741569	ERR5289417
S0412	LOND-13269D6	EPI_ISL_920720	hCoV-19/England/LOND-13269D6/2020	ERS5742379	ERR5290298
S0413	LOND-1326AB5	0	0	0	0
S0414	LOND-12529A5	0	0	0	0
S0415	LOND-13268BB	EPI_ISL_920709	hCoV-19/England/LOND-13268BB/2020	ERS5742846	ERR5291056
S0416	LOND-132645D	EPI_ISL_920666	hCoV-19/England/LOND-132645D/2020	ERS5742640	ERR5290834
S0417	LOND-13265D2	0	0	0	0
S0418	LOND-13264B7	0	0	0	0
S0419	LOND-1326693	EPI_ISL_920688	hCoV-19/England/LOND-1326693/2020	ERS5735852	ERR5287283
S0420	LOND-132696D	EPI_ISL_920717	hCoV-19/England/LOND-132696D/2020	ERS5741909	ERR5289784
S0421	LOND-1325BC2	0	0	0	0
S0422	LOND-1326280	0	0	0	0
S0423	LOND-1326815	0	0	0	0
S0424	LOND-1326B58	EPI_ISL_920735	hCoV-19/England/LOND-1326B58/2020	ERS5743355	ERR5291574
S0425	#N/A	#N/A	#N/A	#N/A	#N/A
S0426	LOND-1326C19	EPI_ISL_920744	hCoV-19/England/LOND-1326C19/2020	ERS5741856	ERR5289726
S0427	LOND-1326754	0	0	0	0
S0428	LOND-132697C	0	0	0	0
S0429	LOND-1326578	EPI_ISL_920676	hCoV-19/England/LOND-1326578/2020	ERS5756494	ERR5300331
S0430	LOND-1326CDD	EPI_ISL_920753	hCoV-19/England/LOND-1326CDD/2020	ERS5742008	ERR5289893
S0431	LOND-1326E40	EPI_ISL_920767	hCoV-19/England/LOND-1326E40/2020	ERS5741992	ERR5289872
S0432	#N/A	#N/A	#N/A	#N/A	#N/A
S0433	LOND-13269E5	0	0	0	0
S0434	LOND-1326EF5	EPI_ISL_920773	hCoV-19/England/LOND-1326EF5/2020	ERS5742838	ERR5291047
S0435	#N/A	#N/A	#N/A	#N/A	#N/A
S0436	#N/A	#N/A	#N/A	#N/A	#N/A
S0437	LOND-1322D29	0	0	0	0
S0438	#N/A	#N/A	#N/A	#N/A	#N/A
S0439	LOND-125127E	EPI_ISL_665334	hCoV-19/England/LOND-125127E/2020	ERS5418004	ERR4891827
S0440	LOND-12513D5	0	0	0	0
S0441	LOND-12513F3	0	0	0	0
S0442	LOND-125137B	0	0	0	0
S0443	#N/A	#N/A	#N/A	#N/A	#N/A
S0444	#N/A	#N/A	#N/A	#N/A	#N/A
S0445	#N/A	#N/A	#N/A	#N/A	#N/A
S0446	LOND-12514A5	0	0	0	0
S0447	#N/A	#N/A	#N/A	#N/A	#N/A
S0448	#N/A	#N/A	#N/A	#N/A	#N/A
